ICAO,NOTAM No,Q Code,From,To,Schedule,Text,Lower Limit,Upper Limit,Created Time,Farsi
OIIX,A4605/24,OIIX/QRDCA/IV/BO/W/000/180/,2411200722,2501191830,NOV 20 TO NOV 27 / 0330-1830 NOV 28 TO DEC 4 / 0330-1330 DEC 5 TO JAN 19 / 0330-1830,"OID125 ACTIVATED, REF AIP PAGE ENR 5.1.3-12.",GND,18000,20 Nov 2024 07:22:00,
OIIX,A4549/24,OIIX/QRDCA/IV/BO/W/000/140/,2411160936,2501191630,0330-1630,"REF AIP PAGE ENR 5.1.3-12,OID126 ACTIVATED",GND,14000,16 Nov 2024 09:41:00,
OIIX,A4548/24,OIIX/QRDCA/IV/BO/W/000/150/,2411160932,2501191630,0230-1630,"OID128 ACTIVATED, REF AIP PAGE ENR 5.1.3-13.",GND,15000,16 Nov 2024 09:35:00,
OIIX,A4354/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031430,2412290230,1430-0230,NEW TEMPORARY UNIDIRECTIONAL EASTBOUND RNAV5 ATS ROUTE WITH DESIGNATOR Y2 ESTABLISHED WITH FLW SPECIFICATION: - FM ZAJ VOR/DME TO ULEXI MAG TRACK: 061/241 DIST: 143.7 NM LATERAL LIMITS: 10 NM MNM SAFE LEVEL: FL 285 THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:11:00,
OIIX,A4351/24,OIIX/QRDCD/IV/BO/W/000/999/,2411031430,2412290230,1430-0230,"REF AIP ENR 5.1.3, DANGER AREAS: OID118, OID117, OID51, OID90, OID41, OID91, OID56, OID8, OID23, OID124, OID46, OID34, OID16, OID75, OID48, OID95, OID36, OID47 AND OID25 DEACTIVATED. CREATED: 03 Nov 2024 13:58:00 SOURCE: OIIIYNYX",,,03 Nov 2024 13:58:00,
OIIX,A4352/24,OIIX/QRCXX/ / / /000/999/,2411031430,2412290230,1430-0230,"REF AIP ENR 5.1.4, CAUTION AREAS OIC65 AND OIC64 DEACTIVATED. CREATED: 03 Nov 2024 14:02:00 SOURCE: OIIIYNYX",,,03 Nov 2024 14:02:00,
OIMM,A5024/24,OIIX/QMPLC/IV/BO/A/000/999/,2412210941,2503181230,,REF AIP PAGE AD2 OIMM ADC STAND 115 CLSD . CREATED: 21 Dec 2024 09:40:00 SOURCE: OIIIYNYX,,,21 Dec 2024 09:40:00,
OIII,A4266/24,OIIX/QMXXX/A/000/999/,2410280531,2501011130 EST,,"REF AIP AD 2.20 ITEM 6-1-4, TWY A3, A4, A5 OPN AND ONLY AVBL FOR EMERG EXIT. CREATED: 28 Oct 2024 05:31:00 SOURCE: OIIIYNYX",,,28 Oct 2024 05:31:00,
OIII,A4264/24,OIIX/QFGXX/A/000/999/,2410280529,2501011130 EST,,"REF AIP PAGE AD 2-11 OIII ITEM 2.18, MEHRABAD CLEARANCE DELIVERY NOT OPR. CREATED: 28 Oct 2024 05:28:00 SOURCE: OIIIYNYX",,,28 Oct 2024 05:28:00,
OIII,A4227/24,OIIX/QLPAS/IV/BO/A/000/999/,2410240545,2501220700 EST,,PAPI RWY 29R NOT OPR. CREATED: 24 Oct 2024 05:47:00 SOURCE: OIIIYNYX,,,24 Oct 2024 05:47:00,
OIII,A4196/24,OIIX/QWCLW/ /M/W/000/100/3546N05134E001,2410220517,2501202030 EST,,"AN UNLIGHTED CAPTIVE BALLOON WILL TAKE PLACE, WI CIRCLE RADIUS 1 KM CENTERED AT : 354622N 0513341E.",GND,10000,22 Oct 2024 05:22:00,
OIII,A3668/24,OIIX/QGAAU/I/NBO/A/000/275/,2410012054,2412302359 EST,,"GPS UNRELIABLE AND MAY BE UNAVAILABLE WITHIN AREA WITH THE LATERAL LIMITS OF TEHRAN TMA AS SPECIFIED IN IRAN AIP, FM GND UP TO FL 275, EGPWS/GPWS MAY DISPLAY ERRONEOUS INDICATION AND MAP SHIFTING, AS REPORTED FREQUENTLY PILOTS SHALL REPORT GPS ANOMALIES INCLUDING DEGRADED OPERATION AND/OR LOSS OF SERVICE, AS SOON AS POSSIBLE",GND,FL275,01 Oct 2024 20:52:00,
OIII,A1824/24,OIIX/QSTXX/A/000/999/,2405200908,2406212030 EST,,"ALL DOMESTIC IFR DEPARTURES ARE CLEARED TO FILED FLIGHT PLAN DESTINATION VIA FILED FLIGHT PLAN ROUTE FOLLOWING MEHRABAD 2A/MEHRABAD 1B DEPARTURE. UPON RECEIVING OF SQUAWK CODE, THE PILOT SHALL READ BACK THE CODE FOLLOWED BY MEHRABAD 2A/MEHRABAD 1B DEPARTURE AND TMA EXIT POINT. CREATED: 20 May 2024 09:11:00 SOURCE: OIIIYNYX",,,20 May 2024 09:11:00,
OIII,B0963/24,OIIX/QNMXX/AE/000/999/,2412230844,2503232359 EST,,TACAN THR CH 80X FLTCK EXPIRED. CREATED: 23 Dec 2024 08:42:00 SOURCE: OIIIYNYX,,,23 Dec 2024 08:42:00,
OIIE,A5092/24,OIIX/QPIXX/A/000/999/,2412240857,2412302030 EST,,"REF NOTAM A5016/24 AND NOTAM A5015/24 ,ARRIVALS EXPECT: ILS APPROACH RWY 29R FOLLOWED BY CIRCLING FOR RWY 29L, VOR/DME APPROACH 29R FOLLOWED BY CIRCLING 29L, VOR/DME (CIRCLIN",,APPROACH,24 Dec 2024 08:55:00,
OIIE,A5087/24,OIIX/QLPAS/IV/BO/A/000/999/,2412240806,2503232359 EST,,PAPI RWY 29R U/S AND SUBSEQUENTLY REQUIRED FLTCK. CREATED: 24 Dec 2024 08:05:00 SOURCE: OIIIYNYX,,,24 Dec 2024 08:05:00,
OIIE,A5018/24,OIIX/QFAXX/IV/NBO/A/000/999/,2412201341,2412302030 EST,,"REF NOTAM A5011/24 AND NOTAM A5013/24, ALL FLT NOT AUTH TO FILE OIIE AP AS AN ALTN AD IN FPL, (EXC THOSE FLT DEP FM OII",,,20 Dec 2024 13:42:00,
OIIE,A5017/24,OIIX/QPIXX/A/000/999/,2412201312,2412302030 EST,,"REF NOTAM A5011/24 AND AIP PAGE AD 2 OIIE IAC 0-1-1 AND IAC 0-1-2, INSTRUMENT APPROACH PROCEDURE TEHRAN/IMAM KHOMAINI RNP RWY 29R CAT A/B/C/D, AND INSTRUMENT APPROACH PROCEDURE TABULAR DESCRIPTION TEHRAN/IMAM KHOMAINI RNP RWY 29R CAT A/B/C/D, SUSPENDED. CREATED: 20 Dec 2024 13:12:00 SOURCE: OIIIYNYX",,,20 Dec 2024 13:12:00,
OIIE,A5016/24,OIIX/QPIXX/A/000/999/,2412201254,2412302030 EST,,"REF NOTAM A5011/24, AND AIP PAGE AD 2 OIIE IAC 2-1, IAC 2-2, THE OCA/H STRAIGHT SECTION FOR FLW INSTRUMENT APPROACH PROCEDURES SUSPENDED, ONLY OCA/H FOR CIRCLING AVBL: INSTRUMENT APPROACH PROCEDURE VOR/DME RWY 29R CAT A/B/C/D, INSTRUMENT APPROACH PROCEDURE VOR/DME RWY 11R/L CAT A/B/C/D. CREATED: 20 Dec 2024 12:53:00 SOURCE: OIIIYNYX",,,20 Dec 2024 12:53:00,
OIIE,A5015/24,OIIX/QPIXX/A/000/999/,2412201253,2412302030 EST,,"REF NOTAM A5011/24, AND AIP PAGE AD 2 OIIE IAC 1-1, THE OCA/H CAT II AND CAT I SECTION FOR INSTRUMENT APPROACH PROCEDURE ILS RWY 29R CAT A/B/C/D SUSPENDED, ONLY OCA/H FOR CIRCLING AVBL. CREATED: 20 Dec 2024 12:51:00 SOURCE: OIIIYNYX",,,20 Dec 2024 12:51:00,
OIIE,A5014/24,OIIX/QFAXX/IV/NBO/A/000/999/,2412201251,2412302030 EST,,"REF NOTAM A5011/24 AND NOTAM A5013/24, DLA MAY OCCUR TO ALL TFC. CREATED: 20 Dec 2024 12:50:00 SOURCE: OIIIYNYX",,,20 Dec 2024 12:50:00,
OIIE,A5013/24,OIIX/QMRXX/A/000/999/,2412201249,2412302030 EST,,"REF NOTAM A5011/24 AND AIP PAGE AD 2-9 OIIE ITEM 2.12, RWY 11R/29L AS A NON-INSTR RWY USABLE FOR TKOF AND LDG WITH NO RESTRICTION FOR ACFT OPS ON PARALLEL TWY, TEMPO SUSPENDED NR 1, 2 AND 9 AT REMARK SECTION OF ITEM 2.12. CREATED: 20 Dec 2024 12:48:00 SOURCE: OIIIYNYX",,,20 Dec 2024 12:48:00,
OIIE,A5012/24,OIIX/QMXLC/IV/M/A/000/999/,2412201247,2412302030 EST,,"REF NOTAM A5011/24, TWY E BTN RWY 11R/29L AND RWY 11L/29R CLSD DUE TO WIP. CREATED: 20 Dec 2024 12:47:00 SOURCE: OIIIYNYX",,,20 Dec 2024 12:47:00,
OIIE,A5011/24,OIIX/QMRLC/IV/NBO/A/000/999/,2412201244,2412302030 EST,,"RWY 11L/29R CLSD BTN TWY Z AND D DUE TO WIP, REMAINING PART OF RWY 11L/29R USABLE FOR TAX. CREATED: 20 Dec 2024 12:44:00 SOURCE: OIIIYNYX",,,20 Dec 2024 12:44:00,
OIIE,A3669/24,OIIX/QGAAU/I/NBO/A/000/275/,2410012058,2412302359 EST,,"GPS UNRELIABLE AND MAY BE UNAVAILABLE WITHIN AREA WITH THE LATERAL LIMITS OF TEHRAN TMA AS SPECIFIED IN IRAN AIP, FM GND UP TO FL 275, EGPWS/GPWS MAY DISPLAY ERRONEOUS INDICATION AND MAP SHIFTING, AS REPORTED FREQUENTLY PILOTS SHALL REPORT GPS ANOMALIES INCLUDING DEGRADED OPERATION AND/OR LOSS OF SERVICE, AS SOON AS POSSIBLE.",GND,FL275,01 Oct 2024 20:55:00,
OIIE,A3358/24,OIIX/QOBCE/IV/M/AE/000/999/,2409231307,PERM,,"TWO NEW OBSTACLES EXIST IN APPROACH/TKOF AREAS WITH FLW SPECIFICATIONS: 1- TYPE: GP ANTENNA, RWY/AREA AFFECTED: 11L/APCH 29R/TKOF, ELEVATION: 3353 FT AMSL, MARKINGS/LGT: MARKED/LGTD, COORDINATES: 352532N 0510732E , 2- TYPE: LOC ANTENNA, RWY/AREA AFFECTED: 29R/APCH 11L/TKOF, ELEVATION: 3267 FT AMSL, MARKINGS/LGT: MARKED/LGTD, COORDINATES: 352444N 0511009E , AMEND AIP PAGE AD 2-7 OIIE ITEM 2.10 . CREATED: 23 Sep 2024 13:08:00 SOURCE: OIIIYNYX",,,23 Sep 2024 13:08:00,
OIIE,A2367/22,OIIX/QFDAS/I /M /A /000/999/3525N05109E005,2208090616,2211072359 EST,,"ACFT DOCKING GUIDANCE SYSTEM STAND NR 104R, 114R AND 116R U/S, DUE TO NEW STAND MARKING. CREATED: 05 Aug 2024 07:45:00 SOURCE: EUECYIYN",,,05 Aug 2024 07:45:00,
OIMM,A5033/24,OIIX/QMRLT/IV/NBO/A/000/999/,2412211121,2412281230,,REF NOTAM A5023/24 TAKOF AND LDG NOT AUTH ON RWY 13R/31L JUST AVLB AS TWY CREATED: 21 Dec 2024 11:21:00 SOURCE: OIIIYNYX,,,21 Dec 2024 11:21:00,
OIMM,A5029/24,OIIX/QCAAH/IV/B/AE/000/999/,2412210953,2503102030,"FREQ 121.700 MHZ AND 275.800 MHZ, HOURS OF OPR CHENGE TO 0130-2030. CREATED: 21 Dec 2024 09:57:00 SOURCE: OIIIYNYX","REF AIP PAGE AD 2-9 OIMM ITEM 2.18, GND SER (MASHHAD GROUN",,,21 Dec 2024 09:57:00,
OIMM,A5028/24,OIIX/QMXLC/IV/M/A/000/999/,2412210953,2501201230,,TWY C CLSD DUE TO CONST WORK. CREATED: 21 Dec 2024 09:52:00 SOURCE: OIIIYNYX,,,21 Dec 2024 09:52:00,
OIMM,A5027/24,OIIX/QFAXX/IV/NBO/A/000/999/,2412210949,2503181230,,"DUE TO TWR RECONSTRUCTION AND VIEW LIMIT TO THE SOUTH PATTERN FM TEMPO TWR PSN, RIGHT DOWN WIND RWY 13 (LEFT DOWNWIND RWY 31) IS NOT USABLE UNLESS IN EMERG COND. CREATED: 21 Dec 2024 09:50:00 SOURCE: OIIIYNYX",,,21 Dec 2024 09:50:00,
OIMM,A5026/24,OIIX/QMXLC/IV/M/A/000/999/,2412210943,2412311230,,TWY A CLSD DUE TO CONST WORK. CREATED: 21 Dec 2024 09:44:00 SOURCE: OIIIYNYX,,,21 Dec 2024 09:44:00,
OIII,A4417/24,OIIX/QPIAU/I/NBO/A/000/999/,2411060907,2502042030 EST,,"REF AIP PAGE AD 2 OIII IAC 1-1 AND IAC 1-1-1, - INSTRUMENT APPROACH PROCEDURE TEHRAN/MEHRABAD ILS Z OR LOC Z RWY 29L CAT A/B/C/D , AND - INSTRUMENT APPROACH PROCEDURE TABULAR DESCRIPTION TEHRAN/MEHRABAD ILS Z RWY 29L CAT A/B/C/D, SUSPENDED. CREATED: 06 Nov 2024 09:10:00 SOURCE: OIIIYNYX",,,06 Nov 2024 09:10:00,
OIII,A4983/24,OIIX/QFAAL/A/000/999/,2412161640,2503161000,,"REF AIP PAGE AD 2-19 OIII, ITEM 2.21 NOISE ABATEMENT PROCEDURES NR 3, CURFEW RESTRICTION AT MEHRABAD AP IS TEMPO SUSPENDED. CREATED: 16 Dec 2024 16:51:00 SOURCE: OIIIYNYX",,,16 Dec 2024 16:51:00,
OIII,A5039/24,OIIX/QMXHW/IV/M/A/000/999/,2412220700,2501220700 EST,,CONST WORK AT 50 M NORTH OF TWY A BTN TWY A1 AND TWY A2 MACHINERY OPERATED WITH MAX HIGHT 14FT. CREATED: 22 Dec 2024 06:39:00 SOURCE: OIIIYNYX,,,22 Dec 2024 06:39:00,
OIIX,A0798/21,OIIX/QKKKK/K/K/K/000/999/,2103150730,2103230730 EST,,"CHECKLIST OF AIP SUPPLEMENT: 2015: 94 TO 105, 107 2019: 6 TO 21 2020: 1 CHECKLIST OF AIC: 2008: 2, 3, 4, 5, 9 2010: 1 2014: 1, 2 2015: 1 2018: 2 2019: 2 2020: 1, 2 LATEST PUBLICATIONS: AIRAC AIP AMDT: 1/21 REGULAR AIP AMDT: 1/20 AIP SUP: 8/21 AIC: 2/20 NO AIRAC AIP AMDT WILL BE PUBLISHED ON AIRAC EFFECTIVE DATE 22 APR 2021 AND 20 MAY 2021 NOTE: ONLY NOTAM CLASS TWO 34/1989 IS VALID. END PART 2 OF 2 CREATED: 15 Mar 2021 07:54:00 SOURCE: OIIIYNYX",,,15 Mar 2021 07:54:00,
OIIX,A4320/24,OIIX/QARLC/IV/NBO/E/000/999/,2410301658,2412292030 EST,,"AIRWAY N39 BTN DEMBA AND OBRIX CLSD. - ALTN TOS FOR WESTBOUND: RADAL DCT IMKER DCT ULDUS, MNM FLT LVL: FL 275, - ALTN TOS FOR EASTBOUND: ULDUS DCT ALKUP DCT IMLIM DCT OXADU M715 OBRIX, MNM FLT LVL: FL 285. CREATED: 30 Oct 2024 16:59:00 SOURCE: OIIIYNYX",,,30 Oct 2024 16:59:00,
OIIX,A4313/24,OIIX/QARLC/IV/NBO/E/000/999/,2410301134,2412302030 EST,,"AWY G208/L125 BTN RADAL AND IKA DVOR/DME CLSD, FLIGHT CAN FILE FPL FROM ROVAD DCT IKA DVOR/DME. ) DUPE CREATED: 30 Oct 2024 11:54:00 SOURCE: OIIIYNYX",,,30 Oct 2024 11:54:00,
OIIX,A4311/24,OIIX/QCECS/I/B/E/000/999/,2410301020,2501282030 EST,"ASSIST ACFT IN EMERGENCY SITUATIONS,","REF AIP PAGE ENR 1.6-1, RADAR SER PROVIDED BY THE TEHRAN ACC SECTOR 6 EAST ON FREQ 123.900 MHZ, 284.900 MHZ FOR MIL ACFT AND SECTOR 6 WEST 123.900 MHZ(H24), 132.900 MHZ (FREQ MAY NOT BE AVBL H24), 284.900 MHZ FOR MIL ACFT (REF AIP PAGE ENR 2.1-3) WI THEIR RADAR COVERAGE, AT AND ABOVE FL 280 AND BASED ON SSR RADAR, THE RADAR SER MAY BE USED TO PERFORM THE FLW FUNCTIONS:",,,30 Oct 2024 10:22:00,
OIIX,A4310/24,OIIX/QARCH/IV/BO/E/000/999/,2410301015,2501282030 EST,,"THE SPECIFICATION OF THE FLW ATS ROUTES SIMULTANEOUSLY AVBL AS RNAV5 FM MNM SAFE LVL OF RELATED ATS ROUTES: R659, R654, G666, G669, W10, W143, A788 AND G452. CREATED: 30 Oct 2024 10:16:00 SOURCE: OIIIYNYX",,,30 Oct 2024 10:16:00,
OIIX,A4308/24,OIIX/QCACF/IV/B/AE/000/999/,2410300958,2501282030 EST,,"REF AIP PAGE ENR 2.1, FREQ 316.800 MHZ SECTOR 1 NORTH/EAST/WEST, FREQ 351.900 MHZ SECTOR 2 EAST/WEST, FREQ 326.400 MHZ SECTOR 3 NORTH/SOUTH, FREQ 291.700 MHZ SECTOR 4 EAST/WEST/SOUTH, FREQ 309.100 MHZ SECTOR 5 EAST/WEST, FREQ 284.900 MHZ SECTOR 6 EAST/WEST AND FREQ 302.400 MHZ SECTOR 7 CHANGED TO FREQ 258.400 MHZ. CREATED: 30 Oct 2024 10:00:00 SOURCE: OIIIYNYX",,,30 Oct 2024 10:00:00,
OIIX,A4307/24,OIIX/QAECA/IV/NBO/E/195/999/,2410300957,2501282030 EST,,"NEW CTA ESTABLISHED AT SOUTH OF TEHRAN FIR WI AREA WITH FOLLOWING SPECIFICATIONS: 282731N 0520543E , KATAG, KUPTO, KASOL, 283811N 0532523E , 282300N 0533600E , 275700N 0535300E , LAR VOR/DME, 271545N 0542844E , SERDU, DAPER, MIDSI, 264600N 0514158E , DEPSU TO THE POINT OF ORIGIN. LOWER LIMIT: FL 195 UPPER LIMIT: UNL CLASS OF AIRSPACE: AT FL 200 CLASS D, ABOVE FL 200 CLASS A, UNIT PROVIDING SERVICE: TEHRAN ACC, CALL SIGN: TEHRAN RADAR, LANGUAGES: ENGLISH - PERSIAN, HOURS OF SERVICE: H24, FREQUENCY: 133.400 MHZ.",FL195,UNL,30 Oct 2024 09:58:00,
OIIX,A4306/24,OIIX/QCAAS/IV/B/AE/000/999/,2410300948,2501282030 EST,,"REF AIP PAGE ENR 2.1-1 TEHRAN FIR, TEHRAN INFORMATION, HF FREQ 5658 KHZ, 5667 KHZ, 6925 KHZ, 8091 KHZ, 8918 KHZ, 10018 KHZ, 13288 KHZ AND 13312 KHZ U/S. CREATED: 30 Oct 2024 09:49:00 SOURCE: OIIIYNYX",,,30 Oct 2024 09:49:00,
OIIX,A4276/24,OIIX/QXXXX/ / / /000/999/,2410291401,2501272030 EST,,"FOREIGN AIRLINES AND ACFT OPS DEPARTING FM IRANIAN AIRPORTS ARE REQUIRED TO ADDRESS FPL AND RELATIVE UPDATES TO ADDRESS OIIXIFPS, FOR TRANSITING INTL FLT VIA TEHRAN FIR AND INTL INBOUND TFC TO IRANIAN AIRPORTS SHALL FLW PROCEDURE SPECIFIED IN IRAN AIP ENR 1.11 . CREATED: 29 Oct 2024 14:03:00 SOURCE: OIIIYNYX",,,29 Oct 2024 14:03:00,
OIIX,A3667/24,OIIX/QGWAU/IV/NBO/AE/000/999/,2410012049,2412302359 EST,,PROBABLE GPS (GNS,GND,UNL,01 Oct 2024 20:48:00,
OIIX,A3255/24,OIIX/QRDCH/IV/BO/W/000/295/,2409260000,PERM,,REF AIP PAGE ENR 5.1.3-10 THE SPECIFICATIONS OF DANGER AREA OID97 CHG AS FLW: LOWER LIMIT : GND UPPER LIMIT : FL295 NATURE OF HAZARD : AIR TO GROUND AND GROUND TO AIR AMEND AIP ACCORDINGLY.,GND,FL295,18 Sep 2024 08:15:00,
OIIX,A2936/24,OIIX/QRDCH/IV/BO/W/000/999/,2409010000,PERM,,"REF AIP PAGE ENR 5.1.3-9, UPPER LIMIT OF DANGER AREA OID93 (GHO",GND,FL155,24 Aug 2024 10:17:00,
OIIX,B0992/24,OIIX/QARLV/V/NBO/E/000/130/,2412260330,2412291430,0330 - 1430,"REF NOTAM A5105/24, ALL VFR SUSPENDED WI MENTIONED AREA.",GND,13000,25 Dec 2024 13:07:00,
OIII,A5055/24,OIIX/QMRLC/IV/NBO/A/000/999/,2412222030,2412280130,2030 - 0130,"RWY 11R/29L CLSD FM THE BEGINNING OF RWY 29L UP TO TWY B5 DUE TO RUBBER DEPOSIT REMOVAL, REMAINING PART OF RWY 11R/29L USABLE FOR TAXI. CREATED: 22 Dec 2024 16:45:00 SOURCE: OIIIYNYX",,,22 Dec 2024 16:45:00,
OIIX,B0991/24,OIIX/QWMLW/IV/BO/W/000/080/2950N05957E003,2412270130,2412271230,,GUN FIRING WILL TAKE PLACE WI CIRCLE RADIUS 5 KM CENTERED AT: 294950N 0595652E,GND,8000,25 Dec 2024 08:10:00,
OIIX,B0981/24,OIIX/QWULW/IV/BO/W/000/100/,2412232030,2501192030,,RPA (REMOTELY PILOTED ACF,GND,10000,23 Dec 2024 17:31:00,
OIIX,B0952/24,OIIX/QKKKK/K/K/K/000/999/,2412230730,2412310730 EST,,CHECKLIST: YEAR 2019: 0756 0760 YEAR 2022: 0060 0061 0062 0063 0064 0065 0066 0069 0070 YEAR 2024: 0713 0714 0715 0722 0723 0724 0728 0729 0730 0731 0732 0733 0734 0735 0736 0737 0738 0739 0740 0741 0742 0743 0744 0745 0746 0747 0748 0749 0750 0751 0752 0753 0776 0787 0807 0808 0810 0815 0832 0833 0863 0873 0875 0876 0878 0887 0888 0889 0896 0897 0898 0901 0902 0906 0914 0946 0947 0948 0949 0950 0951 LATEST AIP AMENDMENTS AIRAC AIP AMDT 4/24 WEF 26 DEC 2024 AIP AMDT 1/20 01 JAN 2020 CHECKLIST OF AIP SUP AND AIC AIRAC AIP SUP: 94/15 95/15 96/15 97/15 98/15 99/15 100/15 101/15 102/15 103/15 104/15 105/15 6/19 9/19 11/19 12/19 11/21 22/21 8/24 AIP SUP: 2/23 2/24 11/24 12/24 AIC: 2/08 3/08 4/08 5/08 9/08 1/14 2/14 1/15 2/18 2/20 2/23 3/23 1/24 NO AIRAC AIP AMDT WILL BE PUBLISHED ON AIRAC EFFECTIVE 23 JAN 2025 AND 20 FEB 2025 NOTE: ONLY NOTAM CLASS TWO 34/1989 IS VALID. CREATED: 23 Dec 2024 07:31:00 SOURCE: OIIIYNYX,,,23 Dec 2024 07:31:00,
OIIX,B0948/24,OIIX/QWMLW/IV/BO/W/000/180/,2412220330,2412271330,0330 - 1330,GUN FIRING WILL TAKE PLACE WI AREA : 304400N 0500400E 303300N 0501400E 301700N 0500500E 302500N 0495000E TO THE POINT OF ORIGIN.,GND,FL180,21 Dec 2024 09:20:00,
OIIX,B0878/24,OIIX/QWMLW/IV/BO/W/000/130/,2411171358,2501191830,0330-1830,GUN FIRING WILL TAKE PLACE WI AREA : 332300N 0604400E 332200N 0604400E 332200N 0604300E 332300N 0604300E TO THE POINT OF ORIGIN.,GND,13000,17 Nov 2024 14:00:00,
OIIX,B0876/24,OIIX/QWMLW/IV/BO/W/000/130/,2411210330,2501191430,0330-1430,GUN FIRING WILL TAKE PLACE WI AREA: 370400N 0474400E 370400N 0474000E 370700N 0473900E 370700N 0474300E TO THE POINT OF ORIGIN.,GND,13000,16 Nov 2024 11:24:00,
OIIX,B0875/24,OIIX/QWMLW/IV/BO/W/000/110/,2411160850,2501191830,0330-1830,GUN FIRING WILL TAKE PLACE WI AREA : 345700N 0591300E 345400N 0591300E 345500N 0591200E 345700N 0591200E TO THE POINT OF ORIGIN.,GND,11000,16 Nov 2024 09:03:00,
OIIX,B0873/24,OIIX/QWMLW/IV/BO/W/000/150/,2411160803,2501191830,0330-1830,GUN FIRING WILL TAKE PLACE WI AREA : 370500N 0454500E 370000N 0453000E 370000N 0450500E 371000N 0453000E TO THE POINT OF ORIGIN.,GND,15000,16 Nov 2024 08:07:00,
OIIX,B0863/24,OIIX/QWMLW/IV/BO/W/000/080/,2411121330,2502101630,1330 - 1630,GUN FIRING WILL TAKE PLACE WI AREA WITH THE FLW COORDINATION: 343000N 0511416E 343800N 0511416E 343810N 0514200E 342956N 0514152E TO THE POINT OF ORIGIN.,GND,8000,11 Nov 2024 10:07:00,
OITK,A1416/22,OIIX/QOBCE/IV/M /AE/000/047/3821N04500E005,2205071310,PERM,,"REF AIP PAGE AD 2-3 OITK ITEM 2.10, NEW OBSTACLE EXIST IN APPROACH RWY 33 AND TKOF RWY 15 WITH FLW SPECIFICATIONS: OBST TYPE ELEVATION MARKINGS/LGT COORDINATES ------------------------------------------------------------- POWER LINE 4621 FT AMSL NIL FIRST: 382145.2N 0450027E 2NDT: 382142N 0450031E AMEND AIP ACCORDINGLY. CREATED: 05 Aug 2024 07:43:00 SOURCE: EUECYIYN",,,05 Aug 2024 07:43:00,
OITK,A1417/22,OIIX/QOBCH/IV/M /AE/000/041/3825N04458E005,2205071312,PERM,,"REF AIP PAGE AD 2-3 OITK ITEM 2.10, SPECIFICATIONS OF 2 OBSTACLES ?IN CIRCLING AREA AND AT AD? CHANGED AS FLW: OBST TYPE ELEVATION MARKINGS/LGT COORDINATES ------------------------------------------------------------- ANTENNA 3991 FT AMSL NIL 382523N 0445815E TWR BUILDING 4055 FT AMSL LGTD 382517N 0445823E AMEND AIP ACCORDINGLY. CREATED: 05 Aug 2024 07:43:00 SOURCE: EUECYIYN",,,05 Aug 2024 07:43:00,
OITK,A1418/22,OIIX/QOBCE/IV/M /AE/000/040/3825N04458E005,2205071316,PERM,,"REF AIP PAGE AD 2-3 OITK ITEM 2.10, NEW OBSTACLE EXIST ?IN CIRCLING AREAS AND AT AD? WITH FLW SPECIFICATIONS: OBST TYPE ELEVATION MARKINGS/LGT COORDINATES ----------------------------------------------------------------- NDB ANTENNA 3947 FT AMSL NIL 382546.8N 0445808.5E AMEND AIP ACCORDINGLY. CREATED: 05 Aug 2024 07:43:00 SOURCE: EUECYIYN",,,05 Aug 2024 07:43:00,
OIBH,B0810/24,OIIX/QLBAS/V/M/A/000/999/,2410270348,2501232359 EST,,ABN U/S. CREATED: 27 Oct 2024 03:49:00 SOURCE: OIIIYNYX,,,27 Oct 2024 03:49:00,
OIBL,A4661/24,OIIX/QFFCH/IV/NBO/A/000/999/,2411270330,2412281130,"EV SAT, MON, WED / 0330-1130",AD CAT FOR RESCUE AND FIRE FIGHTING SER INCRASED TO CAT 6. CREATED: 26 Nov 2024 10:51:00 SOURCE: OIIIYNYX,,,26 Nov 2024 10:51:00,
OIBS,B0901/24,OIIX/QMWXX/A/000/999/,2411281033,2502270615 EST,,"A CANAL EXCAVATION ALONG AND RIGHT SIDE OF RWY 12: DIST FM THR RWY 12: 556 M DIST FM RCL: 135 M LEN: 1800 M, WID: 1.75 M, DPT: 1.75 M MOUND HGT: 5 FT CREATED: 28 Nov 2024 10:36:00 SOURCE: OIIIYNYX",,,28 Nov 2024 10:36:00,
OIBV,B0776/24,OIIX/QOBCE/IV/M/AE/000/999/,2410020429,2412312359 EST,,"TWO UNLIGHTED AND UNMARKED OBST EXIST ON RIGHT BASE AREA AFFECTED RWY 29, WITH FLW SPECIFICATION : OBST TYPE: COM MAST, ELEV: 94 FT AMSL , COORD : 264854N 0532150E OBST TYPE: WATER TANK, ELEV: 130 FT AMSL ,COORD : 264831N 0532211E CREATED: 02 Oct 2024 04:40:00 SOURCE: OIIIYNYX",,,02 Oct 2024 04:40:00,
OICI,A5100/24,OIIX/QCAAH/IV/B/AE/000/999/,2412241223,2501182030,,"REF AIP PAGE AD 2-6 OICI ITEM 2.18 ATS COMMUNICATION FACILITIES, HOURS OF OPERATION FREQ 118.800 MHZ, 121.600 MHZ, 121.500 MHZ AND 126.050 MHZ CHANGED TO: 0300-1330 , OTHER TIMES O/R AT LEAST 24 HOURS BFR EOBT FROM ILAM AIRPORT. CREATED: 24 Dec 2024 12:22:00 SOURCE: OIIIYNYX",,,24 Dec 2024 12:22:00,
